GEO_ID,DP03_0062E,NAME,state,county,tract
1400000US21005950201,51135,"Census Tract 9502.01, Anderson County, Kentucky",21,005,950201
1400000US21005950202,62563,"Census Tract 9502.02, Anderson County, Kentucky",21,005,950202
1400000US21013961100,25647,"Census Tract 9611, Bell County, Kentucky",21,013,961100
1400000US21015070311,42170,"Census Tract 703.11, Boone County, Kentucky",21,015,070311
1400000US21015070312,49975,"Census Tract 703.12, Boone County, Kentucky",21,015,070312
1400000US21015070313,93393,"Census Tract 703.13, Boone County, Kentucky",21,015,070313
1400000US21015070314,96775,"Census Tract 703.14, Boone County, Kentucky",21,015,070314
1400000US21015070503,64771,"Census Tract 705.03, Boone County, Kentucky",21,015,070503
1400000US21015070606,68920,"Census Tract 706.06, Boone County, Kentucky",21,015,070606
1400000US21085950400,34701,"Census Tract 9504, Grayson County, Kentucky",21,085,950400
1400000US21085950300,37591,"Census Tract 9503, Grayson County, Kentucky",21,085,950300
1400000US21085950600,37723,"Census Tract 9506, Grayson County, Kentucky",21,085,950600
1400000US21085950700,46136,"Census Tract 9507, Grayson County, Kentucky",21,085,950700
1400000US21085950500,40905,"Census Tract 9505, Grayson County, Kentucky",21,085,950500
1400000US21085950200,38750,"Census Tract 9502, Grayson County, Kentucky",21,085,950200
1400000US21097950200,52917,"Census Tract 9502, Harrison County, Kentucky",21,097,950200
1400000US21223100100,48942,"Census Tract 1001, Trimble County, Kentucky",21,223,100100
1400000US21223100200,54438,"Census Tract 1002, Trimble County, Kentucky",21,223,100200
1400000US21097950400,42193,"Census Tract 9504, Harrison County, Kentucky",21,097,950400
1400000US21097950300,62257,"Census Tract 9503, Harrison County, Kentucky",21,097,950300
1400000US21097950100,43017,"Census Tract 9501, Harrison County, Kentucky",21,097,950100
1400000US21097950500,41776,"Census Tract 9505, Harrison County, Kentucky",21,097,950500
1400000US21105970100,42929,"Census Tract 9701, Hickman County, Kentucky",21,105,970100
1400000US21023950200,49728,"Census Tract 9502, Bracken County, Kentucky",21,023,950200
1400000US21023950100,50227,"Census Tract 9501, Bracken County, Kentucky",21,023,950100
1400000US21023950300,48665,"Census Tract 9503, Bracken County, Kentucky",21,023,950300
1400000US21143960200,60101,"Census Tract 9602, Lyon County, Kentucky",21,143,960200
1400000US21143960100,49375,"Census Tract 9601, Lyon County, Kentucky",21,143,960100
1400000US21077960101,50504,"Census Tract 9601.01, Gallatin County, Kentucky",21,077,960101
1400000US21077960102,55000,"Census Tract 9601.02, Gallatin County, Kentucky",21,077,960102
1400000US21081920100,55429,"Census Tract 9201, Grant County, Kentucky",21,081,920100
1400000US21081920200,48333,"Census Tract 9202, Grant County, Kentucky",21,081,920200
1400000US21081920400,39787,"Census Tract 9204, Grant County, Kentucky",21,081,920400
1400000US21087930100,34475,"Census Tract 9301, Green County, Kentucky",21,087,930100
1400000US21087930200,34804,"Census Tract 9302, Green County, Kentucky",21,087,930200
1400000US21087930300,34327,"Census Tract 9303, Green County, Kentucky",21,087,930300
1400000US21087930400,44583,"Census Tract 9304, Green County, Kentucky",21,087,930400
1400000US21089040201,50828,"Census Tract 402.01, Greenup County, Kentucky",21,089,040201
