GEO_ID,DP03_0062E,NAME,state,county,tract
1400000US53011040403,92546,"Census Tract 404.03, Clark County, Washington",53,011,040403
1400000US53011041600,37083,"Census Tract 416, Clark County, Washington",53,011,041600
1400000US53011043000,61771,"Census Tract 430, Clark County, Washington",53,011,043000
1400000US53011040805,98911,"Census Tract 408.05, Clark County, Washington",53,011,040805
1400000US53011040604,88561,"Census Tract 406.04, Clark County, Washington",53,011,040604
1400000US53011041007,60881,"Census Tract 410.07, Clark County, Washington",53,011,041007
1400000US53011041110,78042,"Census Tract 411.10, Clark County, Washington",53,011,041110
1400000US53011041201,66100,"Census Tract 412.01, Clark County, Washington",53,011,041201
1400000US53011041317,63559,"Census Tract 413.17, Clark County, Washington",53,011,041317
1400000US53011041325,103622,"Census Tract 413.25, Clark County, Washington",53,011,041325
1400000US53011041008,87193,"Census Tract 410.08, Clark County, Washington",53,011,041008
1400000US53011041104,59782,"Census Tract 411.04, Clark County, Washington",53,011,041104
1400000US53033020700,82367,"Census Tract 207, King County, Washington",53,033,020700
1400000US53033020800,116563,"Census Tract 208, King County, Washington",53,033,020800
1400000US53033020900,103690,"Census Tract 209, King County, Washington",53,033,020900
1400000US53033021000,98083,"Census Tract 210, King County, Washington",53,033,021000
1400000US53033022001,102143,"Census Tract 220.01, King County, Washington",53,033,022001
1400000US53033020500,80517,"Census Tract 205, King County, Washington",53,033,020500
1400000US53033021400,132292,"Census Tract 214, King County, Washington",53,033,021400
1400000US53033022003,117895,"Census Tract 220.03, King County, Washington",53,033,022003
1400000US53033022300,178447,"Census Tract 223, King County, Washington",53,033,022300
1400000US53053062500,68983,"Census Tract 625, Pierce County, Washington",53,053,062500
1400000US53053063000,55133,"Census Tract 630, Pierce County, Washington",53,053,063000
1400000US53053071205,86513,"Census Tract 712.05, Pierce County, Washington",53,053,071205
1400000US53053070310,96154,"Census Tract 703.10, Pierce County, Washington",53,053,070310
1400000US53053071100,66061,"Census Tract 711, Pierce County, Washington",53,053,071100
1400000US53053071409,54887,"Census Tract 714.09, Pierce County, Washington",53,053,071409
1400000US53053071805,32069,"Census Tract 718.05, Pierce County, Washington",53,053,071805
1400000US53053072000,35239,"Census Tract 720, Pierce County, Washington",53,053,072000
1400000US53053072112,66397,"Census Tract 721.12, Pierce County, Washington",53,053,072112
1400000US53053072308,81313,"Census Tract 723.08, Pierce County, Washington",53,053,072308
1400000US53053072310,63250,"Census Tract 723.10, Pierce County, Washington",53,053,072310
1400000US53053072405,125944,"Census Tract 724.05, Pierce County, Washington",53,053,072405
1400000US53053072505,102188,"Census Tract 725.05, Pierce County, Washington",53,053,072505
1400000US53053072800,90298,"Census Tract 728, Pierce County, Washington",53,053,072800
1400000US53053073110,91536,"Census Tract 731.10, Pierce County, Washington",53,053,073110
1400000US53053073118,88765,"Census Tract 731.18, Pierce County, Washington",53,053,073118
1400000US53053073301,51772,"Census Tract 733.01, Pierce County, Washington",53,053,073301
