GEO_ID,DP03_0062E,NAME,state,county,tract
1400000US13135050415,75036,"Census Tract 504.15, Gwinnett County, Georgia",13,135,050415
1400000US13135050709,64571,"Census Tract 507.09, Gwinnett County, Georgia",13,135,050709
1400000US13135050314,49054,"Census Tract 503.14, Gwinnett County, Georgia",13,135,050314
1400000US13135050315,53693,"Census Tract 503.15, Gwinnett County, Georgia",13,135,050315
1400000US13135050425,102500,"Census Tract 504.25, Gwinnett County, Georgia",13,135,050425
1400000US13135050429,104697,"Census Tract 504.29, Gwinnett County, Georgia",13,135,050429
1400000US13051000601,22222,"Census Tract 6.01, Chatham County, Georgia",13,051,000601
1400000US13051001500,21208,"Census Tract 15, Chatham County, Georgia",13,051,001500
1400000US13135050105,53785,"Census Tract 501.05, Gwinnett County, Georgia",13,135,050105
1400000US13135050205,67652,"Census Tract 502.05, Gwinnett County, Georgia",13,135,050205
1400000US13057091102,74137,"Census Tract 911.02, Cherokee County, Georgia",13,057,091102
1400000US13057091001,53031,"Census Tract 910.01, Cherokee County, Georgia",13,057,091001
1400000US13057091006,111574,"Census Tract 910.06, Cherokee County, Georgia",13,057,091006
1400000US13057091101,88310,"Census Tract 911.01, Cherokee County, Georgia",13,057,091101
1400000US13057090300,84120,"Census Tract 903, Cherokee County, Georgia",13,057,090300
1400000US13057090400,46118,"Census Tract 904, Cherokee County, Georgia",13,057,090400
1400000US13057090601,54676,"Census Tract 906.01, Cherokee County, Georgia",13,057,090601
1400000US13057090901,105368,"Census Tract 909.01, Cherokee County, Georgia",13,057,090901
1400000US13057091103,73997,"Census Tract 911.03, Cherokee County, Georgia",13,057,091103
1400000US13057090602,70282,"Census Tract 906.02, Cherokee County, Georgia",13,057,090602
1400000US13057090100,74284,"Census Tract 901, Cherokee County, Georgia",13,057,090100
1400000US13113140408,100142,"Census Tract 1404.08, Fayette County, Georgia",13,113,140408
1400000US13113140304,93657,"Census Tract 1403.04, Fayette County, Georgia",13,113,140304
1400000US13113140404,79271,"Census Tract 1404.04, Fayette County, Georgia",13,113,140404
1400000US13113140305,97396,"Census Tract 1403.05, Fayette County, Georgia",13,113,140305
1400000US13113140307,188828,"Census Tract 1403.07, Fayette County, Georgia",13,113,140307
1400000US13113140502,80602,"Census Tract 1405.02, Fayette County, Georgia",13,113,140502
1400000US13113140206,128284,"Census Tract 1402.06, Fayette County, Georgia",13,113,140206
1400000US13113140405,111544,"Census Tract 1404.05, Fayette County, Georgia",13,113,140405
1400000US13113140407,72946,"Census Tract 1404.07, Fayette County, Georgia",13,113,140407
1400000US13113140501,102739,"Census Tract 1405.01, Fayette County, Georgia",13,113,140501
1400000US13113140303,89493,"Census Tract 1403.03, Fayette County, Georgia",13,113,140303
1400000US13113140204,86016,"Census Tract 1402.04, Fayette County, Georgia",13,113,140204
1400000US13113140101,78607,"Census Tract 1401.01, Fayette County, Georgia",13,113,140101
1400000US13113140203,94515,"Census Tract 1402.03, Fayette County, Georgia",13,113,140203
1400000US13113140306,87547,"Census Tract 1403.06, Fayette County, Georgia",13,113,140306
1400000US13113140403,83958,"Census Tract 1404.03, Fayette County, Georgia",13,113,140403
1400000US13113140406,52778,"Census Tract 1404.06, Fayette County, Georgia",13,113,140406
1400000US13307960100,45266,"Census Tract 9601, Webster County, Georgia",13,307,960100
1400000US13103030100,60859,"Census Tract 301, Effingham County, Georgia",13,103,030100
1400000US13103030202,57064,"Census Tract 302.02, Effingham County, Georgia",13,103,030202
1400000US13103030301,100782,"Census Tract 303.01, Effingham County, Georgia",13,103,030301
1400000US13171970300,33507,"Census Tract 9703, Lamar County, Georgia",13,171,970300
1400000US13171970200,44536,"Census Tract 9702, Lamar County, Georgia",13,171,970200
1400000US13171970100,56344,"Census Tract 9701, Lamar County, Georgia",13,171,970100
1400000US13067030103,89863,"Census Tract 301.03, Cobb County, Georgia",13,067,030103
1400000US13067030310,78692,"Census Tract 303.10, Cobb County, Georgia",13,067,030310
1400000US13067030320,95114,"Census Tract 303.20, Cobb County, Georgia",13,067,030320
1400000US13067030327,115223,"Census Tract 303.27, Cobb County, Georgia",13,067,030327
1400000US13067030314,109192,"Census Tract 303.14, Cobb County, Georgia",13,067,030314
1400000US13067030339,75532,"Census Tract 303.39, Cobb County, Georgia",13,067,030339
1400000US13067031307,84342,"Census Tract 313.07, Cobb County, Georgia",13,067,031307
1400000US13067030312,70437,"Census Tract 303.12, Cobb County, Georgia",13,067,030312
1400000US13067031005,70771,"Census Tract 310.05, Cobb County, Georgia",13,067,031005
1400000US13067030330,126546,"Census Tract 303.30, Cobb County, Georgia",13,067,030330
1400000US13067030700,45298,"Census Tract 307, Cobb County, Georgia",13,067,030700
1400000US13067030335,153889,"Census Tract 303.35, Cobb County, Georgia",13,067,030335
1400000US13123080200,56893,"Census Tract 802, Gilmer County, Georgia",13,123,080200
1400000US13123080500,54824,"Census Tract 805, Gilmer County, Georgia",13,123,080500
1400000US13123080400,48292,"Census Tract 804, Gilmer County, Georgia",13,123,080400
1400000US13123080300,52083,"Census Tract 803, Gilmer County, Georgia",13,123,080300
1400000US13123080100,49132,"Census Tract 801, Gilmer County, Georgia",13,123,080100
1400000US13083040300,47802,"Census Tract 403, Dade County, Georgia",13,083,040300
1400000US13083040200,57574,"Census Tract 402, Dade County, Georgia",13,083,040200
1400000US13297110100,76528,"Census Tract 1101, Walton County, Georgia",13,297,110100
1400000US13297110200,57036,"Census Tract 1102, Walton County, Georgia",13,297,110200
1400000US13297110400,38934,"Census Tract 1104, Walton County, Georgia",13,297,110400
1400000US13297110800,57397,"Census Tract 1108, Walton County, Georgia",13,297,110800
1400000US13297110300,34928,"Census Tract 1103, Walton County, Georgia",13,297,110300
1400000US13297110700,51042,"Census Tract 1107, Walton County, Georgia",13,297,110700
1400000US13245001100,90764,"Census Tract 11, Richmond County, Georgia",13,245,001100
1400000US13245010506,24311,"Census Tract 105.06, Richmond County, Georgia",13,245,010506
1400000US13245010400,16667,"Census Tract 104, Richmond County, Georgia",13,245,010400
1400000US13251970200,45650,"Census Tract 9702, Screven County, Georgia",13,251,970200
1400000US13251970300,40677,"Census Tract 9703, Screven County, Georgia",13,251,970300
1400000US13251970500,38705,"Census Tract 9705, Screven County, Georgia",13,251,970500
1400000US13251970400,35512,"Census Tract 9704, Screven County, Georgia",13,251,970400
1400000US13251970600,58800,"Census Tract 9706, Screven County, Georgia",13,251,970600
1400000US13019970600,41406,"Census Tract 9706, Berrien County, Georgia",13,019,970600
1400000US13019970200,38902,"Census Tract 9702, Berrien County, Georgia",13,019,970200
1400000US13121010122,90586,"Census Tract 101.22, Fulton County, Georgia",13,121,010122
1400000US13121010123,77969,"Census Tract 101.23, Fulton County, Georgia",13,121,010123
1400000US13121010211,142750,"Census Tract 102.11, Fulton County, Georgia",13,121,010211
1400000US13021013504,69118,"Census Tract 135.04, Bibb County, Georgia",13,021,013504
1400000US13021013603,66996,"Census Tract 136.03, Bibb County, Georgia",13,021,013603
1400000US13021013604,55000,"Census Tract 136.04, Bibb County, Georgia",13,021,013604
1400000US13021013605,70379,"Census Tract 136.05, Bibb County, Georgia",13,021,013605
1400000US13021013606,77143,"Census Tract 136.06, Bibb County, Georgia",13,021,013606
1400000US13021013700,22439,"Census Tract 137, Bibb County, Georgia",13,021,013700
1400000US13021013800,19063,"Census Tract 138, Bibb County, Georgia",13,021,013800
1400000US13021013900,34261,"Census Tract 139, Bibb County, Georgia",13,021,013900
1400000US13023790100,52849,"Census Tract 7901, Bleckley County, Georgia",13,023,790100
1400000US13023790200,32014,"Census Tract 7902, Bleckley County, Georgia",13,023,790200
1400000US13023790300,49940,"Census Tract 7903, Bleckley County, Georgia",13,023,790300
1400000US13081010400,33065,"Census Tract 104, Crisp County, Georgia",13,081,010400
1400000US13081010500,44408,"Census Tract 105, Crisp County, Georgia",13,081,010500
1400000US13085970201,81979,"Census Tract 9702.01, Dawson County, Georgia",13,085,970201
1400000US13085970202,68011,"Census Tract 9702.02, Dawson County, Georgia",13,085,970202
1400000US13089021102,110504,"Census Tract 211.02, DeKalb County, Georgia",13,089,021102
1400000US13089021216,86828,"Census Tract 212.16, DeKalb County, Georgia",13,089,021216
1400000US13083040101,40453,"Census Tract 401.01, Dade County, Georgia",13,083,040101
1400000US13083040102,38877,"Census Tract 401.02, Dade County, Georgia",13,083,040102
1400000US13089021101,166563,"Census Tract 211.01, DeKalb County, Georgia",13,089,021101
1400000US13089021215,100348,"Census Tract 212.15, DeKalb County, Georgia",13,089,021215
1400000US13089021217,106216,"Census Tract 212.17, DeKalb County, Georgia",13,089,021217
1400000US13089021218,60254,"Census Tract 212.18, DeKalb County, Georgia",13,089,021218
1400000US13089021305,55109,"Census Tract 213.05, DeKalb County, Georgia",13,089,021305
1400000US13313000302,52575,"Census Tract 3.02, Whitfield County, Georgia",13,313,000302
1400000US13313000800,53036,"Census Tract 8, Whitfield County, Georgia",13,313,000800
1400000US13313001100,38083,"Census Tract 11, Whitfield County, Georgia",13,313,001100
1400000US13313000102,60046,"Census Tract 1.02, Whitfield County, Georgia",13,313,000102
1400000US13313000501,63125,"Census Tract 5.01, Whitfield County, Georgia",13,313,000501
1400000US13313000301,44853,"Census Tract 3.01, Whitfield County, Georgia",13,313,000301
1400000US13313000600,59231,"Census Tract 6, Whitfield County, Georgia",13,313,000600
1400000US13313000200,44076,"Census Tract 2, Whitfield County, Georgia",13,313,000200
1400000US13313000400,39538,"Census Tract 4, Whitfield County, Georgia",13,313,000400
1400000US13313001400,59659,"Census Tract 14, Whitfield County, Georgia",13,313,001400
1400000US13313000101,56466,"Census Tract 1.01, Whitfield County, Georgia",13,313,000101
1400000US13313000502,35058,"Census Tract 5.02, Whitfield County, Georgia",13,313,000502
1400000US13313001300,35507,"Census Tract 13, Whitfield County, Georgia",13,313,001300
1400000US13313000900,64093,"Census Tract 9, Whitfield County, Georgia",13,313,000900
1400000US13121007602,32500,"Census Tract 76.02, Fulton County, Georgia",13,121,007602
1400000US13121001700,94750,"Census Tract 17, Fulton County, Georgia",13,121,001700
1400000US13121007802,51388,"Census Tract 78.02, Fulton County, Georgia",13,121,007802
1400000US13121007805,31174,"Census Tract 78.05, Fulton County, Georgia",13,121,007805
1400000US13121009700,208750,"Census Tract 97, Fulton County, Georgia",13,121,009700
1400000US13121010206,192375,"Census Tract 102.06, Fulton County, Georgia",13,121,010206
1400000US13121011303,45942,"Census Tract 113.03, Fulton County, Georgia",13,121,011303
1400000US13299950100,51023,"Census Tract 9501, Ware County, Georgia",13,299,950100
1400000US13299950900,31800,"Census Tract 9509, Ware County, Georgia",13,299,950900
1400000US13299950700,24364,"Census Tract 9507, Ware County, Georgia",13,299,950700
1400000US13299950400,16836,"Census Tract 9504, Ware County, Georgia",13,299,950400
1400000US13305970500,48266,"Census Tract 9705, Wayne County, Georgia",13,305,970500
1400000US13305970300,39091,"Census Tract 9703, Wayne County, Georgia",13,305,970300
1400000US13305970200,41276,"Census Tract 9702, Wayne County, Georgia",13,305,970200
1400000US13305970100,50500,"Census Tract 9701, Wayne County, Georgia",13,305,970100
1400000US13305970600,51250,"Census Tract 9706, Wayne County, Georgia",13,305,970600
1400000US13305970400,51000,"Census Tract 9704, Wayne County, Georgia",13,305,970400
1400000US13009970100,63948,"Census Tract 9701, Baldwin County, Georgia",13,009,970100
1400000US13009970800,42356,"Census Tract 9708, Baldwin County, Georgia",13,009,970800
1400000US13009970300,71754,"Census Tract 9703, Baldwin County, Georgia",13,009,970300
1400000US13009970400,40685,"Census Tract 9704, Baldwin County, Georgia",13,009,970400
1400000US13009970600,25497,"Census Tract 9706, Baldwin County, Georgia",13,009,970600
1400000US13009970500,19408,"Census Tract 9705, Baldwin County, Georgia",13,009,970500
1400000US13009970200,53349,"Census Tract 9702, Baldwin County, Georgia",13,009,970200
1400000US13009970701,20912,"Census Tract 9707.01, Baldwin County, Georgia",13,009,970701
1400000US13009970702,41875,"Census Tract 9707.02, Baldwin County, Georgia",13,009,970702
1400000US13121010212,67350,"Census Tract 102.12, Fulton County, Georgia",13,121,010212
1400000US13121010515,55883,"Census Tract 105.15, Fulton County, Georgia",13,121,010515
1400000US13121010516,59783,"Census Tract 105.16, Fulton County, Georgia",13,121,010516
1400000US13121011305,36707,"Census Tract 113.05, Fulton County, Georgia",13,121,011305
1400000US13121011306,33587,"Census Tract 113.06, Fulton County, Georgia",13,121,011306
1400000US13121011416,109417,"Census Tract 114.16, Fulton County, Georgia",13,121,011416
1400000US13121011417,96635,"Census Tract 114.17, Fulton County, Georgia",13,121,011417
1400000US13121011418,160820,"Census Tract 114.18, Fulton County, Georgia",13,121,011418
1400000US13013180203,30339,"Census Tract 1802.03, Barrow County, Georgia",13,013,180203
1400000US13013180204,56827,"Census Tract 1802.04, Barrow County, Georgia",13,013,180204
1400000US13013180205,45549,"Census Tract 1802.05, Barrow County, Georgia",13,013,180205
1400000US13013180206,68661,"Census Tract 1802.06, Barrow County, Georgia",13,013,180206
1400000US13013180301,64792,"Census Tract 1803.01, Barrow County, Georgia",13,013,180301
1400000US13013180302,60625,"Census Tract 1803.02, Barrow County, Georgia",13,013,180302
1400000US13013180303,67273,"Census Tract 1803.03, Barrow County, Georgia",13,013,180303
